date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:56	13288/13288	---M--	200	added ('OK')	image/png	etag:%227c8e765f772e38f6a6ed9e1eff620d62%22	https://cdn.baykarmagaza.com/media/uploads/2023/12/09/yWkaalhiBOWNtaYF10G0r8JMnP2mY5bq.png	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/uploads/2023/12/09/yWkaalhiBOWNtaYF10G0r8JMnP2mY5bq.png	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:36:56	930614/930614	---M--	200	added ('OK')	image/jpeg	etag:%22257ae4f6bef167c55514ebe2275f44e2%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/EqoLgWz89VWap9vb3itoouFPn2tr6Qm2.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/EqoLgWz89VWap9vb3itoouFPn2tr6Qm2.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:36:57	1003280/1003280	---M--	200	added ('OK')	image/jpeg	etag:%2272942a0cf754c9f4e0288b4900360e9d%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/1b2f40VuBqYKQM0Vyd5Il16PCyeWbAC3.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/1b2f40VuBqYKQM0Vyd5Il16PCyeWbAC3.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:36:57	101179/101179	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jun%202024%2015:36:58%20GMT	https://baykarmagaza.com/tr/product/detail/bayraktar-akinci-beyaz-tisort	C:/Benim%20Web%20Sitem/asdasdasd/baykarmagaza.com/tr/product/detail/bayraktar-akinci-beyaz-tisort.html	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:36:57	914428/914428	---M--	200	added ('OK')	image/jpeg	etag:%22599cb852ced277eae22dffd3160df2d2%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/CUciIR9i4O2Dw4TAaC1bCmo8gwJWGbZI.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/CUciIR9i4O2Dw4TAaC1bCmo8gwJWGbZI.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:36:58	101151/101151	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jun%202024%2015:36:58%20GMT	https://baykarmagaza.com/tr/product/detail/bayraktar-tb2-beyaz-tisort	C:/Benim%20Web%20Sitem/asdasdasd/baykarmagaza.com/tr/product/detail/bayraktar-tb2-beyaz-tisort.html	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:36:58	902263/902263	---M--	200	added ('OK')	image/jpeg	etag:%22f868af8f8edef711dd34cfb446069303%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/OLmlpjHyVkdWU6VCdZOCgQMhQwvxzUtR.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/OLmlpjHyVkdWU6VCdZOCgQMhQwvxzUtR.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:36:58	942602/942602	---M--	200	added ('OK')	image/jpeg	etag:%22dbffc7670b5486a3f997f88cb656f1a8%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/XK43PB5Hp7Zl5IkXm3hmssMBmxM4FfWs.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/XK43PB5Hp7Zl5IkXm3hmssMBmxM4FfWs.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:36:58	101170/101170	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jun%202024%2015:36:59%20GMT	https://baykarmagaza.com/tr/product/detail/cezeri-ucan-araba-beyaz-tisort	C:/Benim%20Web%20Sitem/asdasdasd/baykarmagaza.com/tr/product/detail/cezeri-ucan-araba-beyaz-tisort.html	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:36:59	947892/947892	---M--	200	added ('OK')	image/jpeg	etag:%22e19a2c45edfa7c4690ca229281e22f65%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/PDDM5SSSH0MkmmiHOBoeSDTM5h4K00yN.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/PDDM5SSSH0MkmmiHOBoeSDTM5h4K00yN.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:36:59	915847/915847	---M--	200	added ('OK')	image/jpeg	etag:%2248cc1a7d85da260464c4ef44465cb5df%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/7uepUoaDaJYBpJxlkSXxv18fTWDjkM1K.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/7uepUoaDaJYBpJxlkSXxv18fTWDjkM1K.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:36:59	100304/100304	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jun%202024%2015:37:00%20GMT	https://baykarmagaza.com/tr/product/detail/bayraktar-aknc-beyaz-ekip-tisort	C:/Benim%20Web%20Sitem/asdasdasd/baykarmagaza.com/tr/product/detail/bayraktar-aknc-beyaz-ekip-tisort.html	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:36:59	975934/975934	---M--	200	added ('OK')	image/jpeg	etag:%22241f981d3d704cf6c6524b5151b6fc9b%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/waWCObj66azbtxtMmAqeWz6i6FNSu6fp.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/waWCObj66azbtxtMmAqeWz6i6FNSu6fp.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:37:00	100467/100467	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jun%202024%2015:37:01%20GMT	https://baykarmagaza.com/tr/product/detail/bayraktar-kizilelma-koklerden-goklere-siyah-tisort	C:/Benim%20Web%20Sitem/asdasdasd/baykarmagaza.com/tr/product/detail/bayraktar-kizilelma-koklerden-goklere-siyah-tisort.html	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:37:00	938341/938341	---M--	200	added ('OK')	image/jpeg	etag:%227b46d5cd7ac0dc543af964da86a65ad1%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/l00R8WuhjB9jjMIMPRCEHttuUCrUbEKk.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/l00R8WuhjB9jjMIMPRCEHttuUCrUbEKk.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:37:00	88585/88585	---M--	200	added ('OK')	image/jpeg	etag:%224c46a6bc899066564d1125dc38138404%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/rJmMGDndoQTWrwJyOYF8Qr158SQFQGl4.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/rJmMGDndoQTWrwJyOYF8Qr158SQFQGl4.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:37:00	88905/88905	---M--	200	added ('OK')	image/jpeg	etag:%22622ae7e7caf39c5d1d569ec07e73fbaf%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/tCFjSOzxO6xxHnPkY0cynmPuOjC2rjzL.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/tCFjSOzxO6xxHnPkY0cynmPuOjC2rjzL.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:37:01	855936/855936	---M--	200	added ('OK')	image/jpeg	etag:%22312360cecd1e5599e4388e050cfd0dfe%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/AjsRff1DJilM1Z2J8A38muxNRgRV6Awc.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/AjsRff1DJilM1Z2J8A38muxNRgRV6Awc.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:37:01	97593/97593	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jun%202024%2015:37:02%20GMT	https://baykarmagaza.com/tr/product/detail/bayraktar-kizilelma-siyah-tisort	C:/Benim%20Web%20Sitem/asdasdasd/baykarmagaza.com/tr/product/detail/bayraktar-kizilelma-siyah-tisort.html	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:37:01	79393/79393	---M--	200	added ('OK')	image/jpeg	etag:%22a38ecf8a337e1612fb6c11fadf5121a5%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/M7VGg5CY3HZo3qBc5CbIODwTQdCOinjf.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/M7VGg5CY3HZo3qBc5CbIODwTQdCOinjf.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:37:01	73977/73977	---M--	200	added ('OK')	image/jpeg	etag:%22044c6d8a472a9b9f09333c890c0f8949%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/b8Ijv9wR3QvGEDHQiVP4lu4GADQjGx2Q.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/b8Ijv9wR3QvGEDHQiVP4lu4GADQjGx2Q.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:37:02	99031/99031	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jun%202024%2015:37:02%20GMT	https://baykarmagaza.com/tr/product/detail/bayraktar-kizilelma-kol-ucusu-ekru-tisort	C:/Benim%20Web%20Sitem/asdasdasd/baykarmagaza.com/tr/product/detail/bayraktar-kizilelma-kol-ucusu-ekru-tisort.html	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:37:02	86909/86909	---M--	200	added ('OK')	image/jpeg	etag:%22f0e79677d138d10c14f0a613f3821429%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/fWHkwwKOlm9O95Pm1XyyFUdQC5PHoWfi.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/fWHkwwKOlm9O95Pm1XyyFUdQC5PHoWfi.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:37:02	72218/72218	---M--	200	added ('OK')	image/jpeg	etag:%22fe45bb99383ece933e5bc3cd797adba3%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/jRi4cCHnVh4G5nAng84g1vcpS58fDmBX.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/jRi4cCHnVh4G5nAng84g1vcpS58fDmBX.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
